Week,Sales
1,102450
2,98930
3,91550
4,111940
5,103380
6,112120
7,105780
8,103000
9,111920
10,106170
11,106350
12,113920
13,126860
14,115680
15,122040
16,134350
17,131200
18,132990
19,126020
20,152220
21,137350
22,132240
23,144550
24,128730
25,137040
26,136830
27,114980
28,130250
29,128070
30,135970
31,142370
32,121300
33,121380
34,128790
35,139290
36,128530
37,139260
38,157960
39,145310
40,150340
41,158980
42,152690
43,157440
44,144500
45,156340
46,137440
47,166750
48,171640
49,170830
50,174250
51,178480
52,178560
53,167170
54,161200
55,166710
56,156430
57,162440
58,177260
59,163920
60,166040
61,182790
62,169510
63,173940
64,179350
65,177980
66,180180
67,188070
68,191930
69,186070
70,171860
71,180240
72,180910
73,185420
74,195470
75,183680
76,190200
77,186970
78,182330
79,181560
80,202130
81,183740
82,191880
83,197950
84,209040
85,203990
86,201220
87,202370
88,201100
89,203210
90,198770
91,171570
92,184320
93,182460
94,173430
95,177680
96,186460
97,185140
98,183970
99,154630
100,174720
101,169580
102,180310
103,154080
104,163560
