Month-Year,CPI
Jan-95,150.3
Feb-95,150.9
Mar-95,151.4
Apr-95,151.9
May-95,152.2
Jun-95,152.5
Jul-95,152.5
Aug-95,152.9
Sep-95,153.2
Oct-95,153.7
Nov-95,153.6
Dec-95,153.5
Jan-96,154.4
Feb-96,154.9
Mar-96,155.7
Apr-96,156.3
May-96,156.6
Jun-96,156.7
Jul-96,157
Aug-96,157.3
Sep-96,157.8
Oct-96,158.3
Nov-96,158.6
Dec-96,158.6
Jan-97,159.1
Feb-97,159.6
Mar-97,160
Apr-97,160.2
May-97,160.1
Jun-97,160.3
Jul-97,160.5
Aug-97,160.8
Sep-97,161.2
Oct-97,161.6
Nov-97,161.5
Dec-97,161.3
Jan-98,161.6
Feb-98,161.9
Mar-98,162.2
Apr-98,162.5
May-98,162.8
Jun-98,163
Jul-98,163.2
Aug-98,163.4
Sep-98,163.6
Oct-98,164
Nov-98,164
Dec-98,163.9
Jan-99,164.3
Feb-99,164.5
Mar-99,165
Apr-99,166.2
May-99,166.2
Jun-99,166.2
Jul-99,166.7
Aug-99,167.1
Sep-99,167.9
Oct-99,168.2
Nov-99,168.3
Dec-99,168.3
Jan-00,168.8
Feb-00,169.8
Mar-00,171.2
Apr-00,171.3
May-00,171.5
Jun-00,172.4
Jul-00,172.8
Aug-00,172.8
Sep-00,173.7
Oct-00,174
Nov-00,174.1
Dec-00,174
Jan-01,175.1
Feb-01,175.8
Mar-01,176.2
Apr-01,176.9
May-01,177.7
Jun-01,178
Jul-01,177.5
Aug-01,177.5
Sep-01,178.3
Oct-01,177.7
Nov-01,177.4
Dec-01,176.7
Jan-02,177.1
Feb-02,177.8
Mar-02,178.8
Apr-02,179.8
May-02,179.8
Jun-02,179.9
Jul-02,180.1
Aug-02,180.7
Sep-02,181
Oct-02,181.3
Nov-02,181.3
Dec-02,180.9
Jan-03,181.7
Feb-03,183.1
Mar-03,184.2
Apr-03,183.8
May-03,183.5
Jun-03,183.7
Jul-03,183.9
Aug-03,184.6
Sep-03,185.2
Oct-03,185
Nov-03,184.5
Dec-03,184.3
Jan-04,185.2
Feb-04,186.2
Mar-04,187.4
Apr-04,188
May-04,189.1
Jun-04,189.7
Jul-04,189.4
Aug-04,189.5
Sep-04,189.9
Oct-04,190.9
Nov-04,191
Dec-04,190.3
