Month,"Dollars, in Millions"
Jan-1992,"3,519"
Feb-1992,"3,803"
Mar-1992,"4,332"
Apr-1992,"4,251"
May-1992,"4,661"
Jun-1992,"4,811"
Jul-1992,"4,448"
Aug-1992,"4,451"
Sep-1992,"4,343"
Oct-1992,"4,067"
Nov-1992,"4,001"
Dec-1992,"3,934"
Jan-1993,"3,652"
Feb-1993,"3,768"
Mar-1993,"4,082"
Apr-1993,"4,101"
May-1993,"4,628"
Jun-1993,"4,898"
Jul-1993,"4,476"
Aug-1993,"4,728"
Sep-1993,"4,458"
Oct-1993,"4,004"
Nov-1993,"4,095"
Dec-1993,"4,056"
Jan-1994,"3,641"
Feb-1994,"3,966"
Mar-1994,"4,417"
Apr-1994,"4,367"
May-1994,"4,821"
Jun-1994,"5,190"
Jul-1994,"4,638"
Aug-1994,"4,904"
Sep-1994,"4,528"
Oct-1994,"4,383"
Nov-1994,"4,339"
Dec-1994,"4,327"
Jan-1995,"3,856"
Feb-1995,"4,072"
Mar-1995,"4,563"
Apr-1995,"4,561"
May-1995,"4,984"
Jun-1995,"5,316"
Jul-1995,"4,843"
Aug-1995,"5,383"
Sep-1995,"4,889"
Oct-1995,"4,681"
Nov-1995,"4,466"
Dec-1995,"4,463"
Jan-1996,"4,217"
Feb-1996,"4,322"
Mar-1996,"4,779"
Apr-1996,"4,988"
May-1996,"5,383"
Jun-1996,"5,591"
Jul-1996,"5,322"
Aug-1996,"5,404"
Sep-1996,"5,106"
Oct-1996,"4,871"
Nov-1996,"4,977"
Dec-1996,"4,706"
Jan-1997,"4,193"
Feb-1997,"4,460"
Mar-1997,"4,956"
Apr-1997,"5,022"
May-1997,"5,408"
Jun-1997,"5,565"
Jul-1997,"5,360"
Aug-1997,"5,490"
Sep-1997,"5,286"
Oct-1997,"5,257"
Nov-1997,"5,002"
Dec-1997,"4,897"
Jan-1998,"4,577"
Feb-1998,"4,764"
Mar-1998,"5,052"
Apr-1998,"5,251"
May-1998,"5,558"
Jun-1998,"5,931"
Jul-1998,"5,476"
Aug-1998,"5,603"
Sep-1998,"5,425"
Oct-1998,"5,177"
Nov-1998,"4,792"
Dec-1998,"4,776"
Jan-1999,"4,450"
Feb-1999,"4,659"
Mar-1999,"5,043"
Apr-1999,"5,233"
May-1999,"5,423"
Jun-1999,"5,814"
Jul-1999,"5,339"
Aug-1999,"5,474"
Sep-1999,"5,278"
Oct-1999,"5,184"
Nov-1999,"4,975"
Dec-1999,"4,751"
Jan-2000,"4,600"
Feb-2000,"4,718"
Mar-2000,"5,218"
Apr-2000,"5,336"
May-2000,"5,665"
Jun-2000,"5,900"
Jul-2000,"5,330"
Aug-2000,"5,626"
Sep-2000,"5,512"
Oct-2000,"5,293"
Nov-2000,"5,143"
Dec-2000,"4,842"
Jan-2001,"4,627"
Feb-2001,"4,981"
Mar-2001,"5,321"
Apr-2001,"5,290"
May-2001,"6,002"
Jun-2001,"5,811"
Jul-2001,"5,671"
Aug-2001,"6,102"
Sep-2001,"5,482"
Oct-2001,"5,429"
Nov-2001,"5,356"
Dec-2001,"5,167"
Jan-2002,"4,608"
Feb-2002,"4,889"
Mar-2002,"5,352"
Apr-2002,"5,441"
May-2002,"5,970"
Jun-2002,"5,750"
Jul-2002,"5,670"
Aug-2002,"5,860"
Sep-2002,"5,449"
Oct-2002,"5,401"
Nov-2002,"5,240"
Dec-2002,"5,229"
Jan-2003,"4,770"
Feb-2003,"5,006"
Mar-2003,"5,518"
Apr-2003,"5,576"
May-2003,"6,160"
Jun-2003,"6,121"
Jul-2003,"5,900"
Aug-2003,"5,994"
Sep-2003,"5,841"
Oct-2003,"5,832"
Nov-2003,"5,505"
Dec-2003,"5,573"
Jan-2004,"5,331"
Feb-2004,"5,355"
Mar-2004,"6,057"
Apr-2004,"6,055"
May-2004,"6,771"
Jun-2004,"6,669"
Jul-2004,"6,375"
Aug-2004,"6,666"
Sep-2004,"6,383"
Oct-2004,"6,118"
Nov-2004,"5,927"
Dec-2004,"5,750"
Jan-2005,"5,122"
Feb-2005,"5,398"
Mar-2005,"5,817"
Apr-2005,"6,163"
May-2005,"6,763"
Jun-2005,"6,835"
Jul-2005,"6,678"
Aug-2005,"6,821"
Sep-2005,"6,421"
Oct-2005,"6,338"
Nov-2005,"6,265"
Dec-2005,"6,291"
Jan-2006,"5,540"
Feb-2006,"5,822"
Mar-2006,"6,318"
Apr-2006,"6,268"
May-2006,"7,270"
Jun-2006,"7,096"
Jul-2006,"6,505"
Aug-2006,"7,039"
Sep-2006,"6,440"
Oct-2006,"6,446"
Nov-2006,"6,717"
Dec-2006,"6,320"
