Date,Dow Jones
Jun-99,10970.8
Jul-99,10655.2
Aug-99,10829.3
Sep-99,10337
Oct-99,10729.9
Nov-99,10877.8
Dec-99,11497.1
Jan-00,10940.5
Feb-00,10128.3
Mar-00,10921.9
Apr-00,10733.9
May-00,10522.3
Jun-00,10447.9
Jul-00,10522
Aug-00,11215.1
Sep-00,10650.9
Oct-00,10971.1
Nov-00,10414.5
Dec-00,10788
01-Jan,10887.4
01-Feb,10495.3
01-Mar,9878.78
01-Apr,10735
01-May,10911.9
01-Jun,10502.4
01-Jul,10522.8
01-Aug,9949.75
01-Sep,8847.56
01-Oct,9075.14
01-Nov,9851.56
01-Dec,10021.6
02-Jan,9920
02-Feb,10106.1
02-Mar,10403.9
02-Apr,9946.22
02-May,9925.25
02-Jun,9243.26
02-Jul,8736.59
02-Aug,8663.5
02-Sep,7591.93
02-Oct,8397.03
02-Nov,8896.09
02-Dec,8341.63
03-Jan,8053.81
03-Feb,7891.08
03-Mar,7992.13
03-Apr,8480.09
03-May,8850.26
03-Jun,8985.44
03-Jul,9233.8
03-Aug,9415.82
03-Sep,9275.06
03-Oct,9801.12
03-Nov,9782.46
03-Dec,10453.9
04-Jan,10488.1
04-Feb,10583.9
04-Mar,10357.7
04-Apr,10225.6
04-May,10188.5
04-Jun,10435.5
04-Jul,10139.7
04-Aug,10173.9
04-Sep,10080.3
04-Oct,10027.5
04-Nov,10428
04-Dec,10783
05-Jan,10489.9
05-Feb,10766.2
05-Mar,10503.8
05-Apr,10192.5
05-May,10467.5
05-Jun,10275
05-Jul,10640.9
05-Aug,10481.6
05-Sep,10568.7
05-Oct,10440.1
05-Nov,10805.9
05-Dec,10717.5
06-Jan,10864.9
06-Feb,10993.4
06-Mar,11109.3
06-Apr,11367.1
06-May,11168.3
06-Jun,11247.9
